"","city","re","re_rank"
"1","Albany",14.829,45
"2","Amarillo",13.5327272727273,65
"3","Anchorage",5.50272727272727,106
"4","Atlanta",15.3627272727273,29
"5","Atlantic City",14.991,41
"6","Austin",13.2763636363636,70
"7","Baker",11.0409090909091,90
"8","Baltimore",10.005,96
"9","Bangor",15.175,36
"10","Birmingham",13.8872727272727,59
"11","Bismarck",11.8245454545455,87
"12","Boise",14.46,49
"13","Boston",16.073,24
"14","Buffalo",13.553,64
"15","Carlsbad",8.10545454545455,103
"16","Charleston",23.56,4
"17","Charlotte",12.014,84
"18","Cheyenne",17.3427272727273,16
"19","Chicago",15.3372727272727,30
"20","Cincinnati",16.864,20
"21","Cleveland",10.101,94
"22","Columbia",13.152,73
"23","Columbus",14.015,55
"24","Dallas",15.1809090909091,35
"25","Des Moines",17.2490909090909,17
"26","Detroit",10.0136363636364,95
"27","Dover",14.89,43
"28","Dubuque",14.9454545454545,42
"29","Duluth",21.5572727272727,6
"30","Eastport",10.547,93
"31","El Paso",15.309,33
"32","Eugene",20.4354545454545,7
"33","Fargo",15.6536363636364,27
"34","Flagstaff",17.2081818181818,18
"35","Fresno",16.7627272727273,22
"36","Garden City",12.5245454545455,80
"37","Grand Junction",18.523,12
"38","Grand Rapids",15.3372727272727,31
"39","Harve",12.9609090909091,77
"40","Helena",8.28727272727273,101
"41","Honolulu",15.1009090909091,37
"42","Hoquiam",24.6127272727273,3
"43","Hot Springs",13.1263636363636,75
"44","Idaho Falls",13.21,72
"45","Indianapolis",15.0754545454545,39
"46","Jackson",15.0554545454545,40
"47","Jacksonville",9.69818181818182,97
"48","Kansas City",13.1445454545455,74
"49","Key West",11.9427272727273,86
"50","Klamath Falls",12.3963636363636,81
"51","Knoxville",15.6709090909091,26
"52","Lander",17.1854545454545,19
"53","Las Vegas",13.6781818181818,62
"54","Lewiston",14.2354545454545,52
"55","Lincoln",15.38,28
"56","Los Angeles",12.1809090909091,82
"57","Louisville",15.3245454545455,32
"58","Manchester",13.52,67
"59","Memphis",14.2136363636364,53
"60","Miami",19.212,8
"61","Milwaukee",14.2690909090909,51
"62","Minneapolis",18.5872727272727,11
"63","Mobile",14.5745454545455,47
"64","Montgomery",13.5172727272727,68
"65","Montpelier",19.184,9
"66","Nashville",13.7163636363636,61
"67","Needles",8.56909090909091,100
"68","New Haven",5.467,108
"69","New Orleans",14.4872727272727,48
"70","New York",13.326,69
"71","Nogales",13.0136363636364,76
"72","North Platte",18.9763636363636,10
"73","Oklahoma City",13.2145454545455,71
"74","Philadelphia",12.549,79
"75","Phoenix",8.75818181818182,99
"76","Pierre",14.3536363636364,50
"77","Pittsburgh",16.437,23
"78","Portland",25.9618181818182,2
"79","Providence",15.292,34
"80","Provo",6.12818181818182,105
"81","Raleigh",17.403,15
"82","Reno",5.47636363636364,107
"83","Richfield",12.804,78
"84","Richmond",14.81,46
"85","Roanoke",14.85,44
"86","Sacramento",13.7918181818182,60
"87","Salmon",10.8236363636364,91
"88","Salt Lake City",9.36636363636364,98
"89","San Antonio",13.9990909090909,56
"90","San Diego",10.5818181818182,92
"91","San Francisco",17.5336363636364,14
"92","Santa Fe",8.15545454545454,102
"93","Sault Ste Marie",23.1518181818182,5
"94","Savannah",15.077,38
"95","Scranton",13.666,63
"96","Seattle",16.7681818181818,21
"97","Shreveport",13.9054545454545,58
"98","Sioux Falls",11.9472727272727,85
"99","Spokane",14.0845454545455,54
"100","Springfield",29.6081818181818,1
"101","St Louis",13.979,57
"102","St. George",7.611,104
"103","Syracuse",15.858,25
"104","Tampa",13.5281818181818,66
"105","Trinidad",11.6981818181818,88
"106","Watertown",12.138,83
"107","Wichita",11.61,89
"108","Wilmington",18.231,13
